id,id_v2,category,level,question,answer_status,answer_type,answer,unknown_reason,evidence,pipeline_version,files
VRF_RD_MAP_leaf2,vrf_rd_map:6e35c43dba,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=leaf2. [Answer format: JSON object]",NOT_CONFIGURED,map,{},,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
VRF_RD_MAP_p2,vrf_rd_map:f84ad4329a,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=p2. [Answer format: JSON object]",NOT_CONFIGURED,map,{},,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
VRF_RD_MAP_p3,vrf_rd_map:40d255b5d8,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=p3. [Answer format: JSON object]",NOT_CONFIGURED,map,{},,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
VRF_RD_MAP_leaf4,vrf_rd_map:45a2dbebe1,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=leaf4. [Answer format: JSON object]",NOT_CONFIGURED,map,{},,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
VRF_RD_MAP_p1,vrf_rd_map:980d4425bd,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=p1. [Answer format: JSON object]",NOT_CONFIGURED,map,{},,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
VRF_RD_MAP_pe2,vrf_rd_map:3603999311,Services_Inventory,L1,"For metric 'vrf_rd_map', provide the result for host=pe2. [Answer format: JSON object]",OK,map,"{""VRF_AI"": ""65000:1"", ""VRF_BIO"": ""65000:2"", ""VRF_HPC"": ""65000:3""}",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""vrf_rd_map"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
RT_IMPORT_COUNT_p3,rt_import_count:40d255b5d8,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=p3. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
RT_IMPORT_COUNT_leaf3,rt_import_count:6a7c231d8b,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=leaf3. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
RT_IMPORT_COUNT_leaf4,rt_import_count:45a2dbebe1,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=leaf4. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
RT_IMPORT_COUNT_p2,rt_import_count:f84ad4329a,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=p2. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
RT_IMPORT_COUNT_pe2,rt_import_count:3603999311,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=pe2. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
RT_IMPORT_COUNT_pe1,rt_import_count:4f36bb8808,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=pe1. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
RT_IMPORT_COUNT_leaf2,rt_import_count:6e35c43dba,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=leaf2. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
RT_IMPORT_COUNT_p4,rt_import_count:8eb660897d,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=p4. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
RT_IMPORT_COUNT_leaf1,rt_import_count:f3e677391b,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=leaf1. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
RT_IMPORT_COUNT_p1,rt_import_count:980d4425bd,Services_Inventory,L1,"For metric 'rt_import_count', provide the result for host=p1. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_import_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
RT_EXPORT_COUNT_p3,rt_export_count:40d255b5d8,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=p3. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
RT_EXPORT_COUNT_leaf4,rt_export_count:45a2dbebe1,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=leaf4. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
RT_EXPORT_COUNT_pe2,rt_export_count:3603999311,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=pe2. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
RT_EXPORT_COUNT_pe1,rt_export_count:4f36bb8808,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=pe1. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
RT_EXPORT_COUNT_leaf3,rt_export_count:6a7c231d8b,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=leaf3. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
RT_EXPORT_COUNT_leaf2,rt_export_count:6e35c43dba,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=leaf2. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
RT_EXPORT_COUNT_p2,rt_export_count:f84ad4329a,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=p2. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
RT_EXPORT_COUNT_p4,rt_export_count:8eb660897d,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=p4. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
RT_EXPORT_COUNT_leaf1,rt_export_count:f3e677391b,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=leaf1. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
RT_EXPORT_COUNT_p1,rt_export_count:980d4425bd,Services_Inventory,L1,"For metric 'rt_export_count', provide the result for host=p1. [Answer format: integer number]",NOT_CONFIGURED,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""rt_export_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
MPLS_LDP_ROUTER_ID_leaf4,mpls_ldp_router_id:45a2dbebe1,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=leaf4. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
MPLS_LDP_ROUTER_ID_pe2,mpls_ldp_router_id:3603999311,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=pe2. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
MPLS_LDP_ROUTER_ID_pe1,mpls_ldp_router_id:4f36bb8808,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=pe1. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
MPLS_LDP_ROUTER_ID_p3,mpls_ldp_router_id:40d255b5d8,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=p3. [Answer format: plain string]",OK,text,"""10.255.0.3""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
MPLS_LDP_ROUTER_ID_leaf3,mpls_ldp_router_id:6a7c231d8b,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=leaf3. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
MPLS_LDP_ROUTER_ID_p4,mpls_ldp_router_id:8eb660897d,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=p4. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
MPLS_LDP_ROUTER_ID_p2,mpls_ldp_router_id:f84ad4329a,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=p2. [Answer format: plain string]",OK,text,"""10.255.0.2""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
MPLS_LDP_ROUTER_ID_leaf1,mpls_ldp_router_id:f3e677391b,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=leaf1. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
MPLS_LDP_ROUTER_ID_p1,mpls_ldp_router_id:980d4425bd,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=p1. [Answer format: plain string]",OK,text,"""10.255.0.1""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
MPLS_LDP_ROUTER_ID_leaf2,mpls_ldp_router_id:6e35c43dba,Services_Inventory,L1,"For metric 'mpls_ldp_router_id', provide the result for host=leaf2. [Answer format: plain string]",OK,text,"""NOT_CONFIGURED""",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""mpls_ldp_router_id"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
L2VPN_PW_ID_SET_leaf4,l2vpn_pw_id_set:45a2dbebe1,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=leaf4. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
L2VPN_PW_ID_SET_p1,l2vpn_pw_id_set:980d4425bd,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=p1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
L2VPN_PW_ID_SET_leaf3,l2vpn_pw_id_set:6a7c231d8b,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=leaf3. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
L2VPN_PW_ID_SET_leaf2,l2vpn_pw_id_set:6e35c43dba,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=leaf2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
L2VPN_PW_ID_SET_p4,l2vpn_pw_id_set:8eb660897d,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=p4. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
L2VPN_PW_ID_SET_leaf1,l2vpn_pw_id_set:f3e677391b,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=leaf1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
L2VPN_PW_ID_SET_p3,l2vpn_pw_id_set:40d255b5d8,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=p3. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
L2VPN_PW_ID_SET_p2,l2vpn_pw_id_set:f84ad4329a,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=p2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
L2VPN_PW_ID_SET_pe2,l2vpn_pw_id_set:3603999311,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=pe2. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
L2VPN_PW_ID_SET_pe1,l2vpn_pw_id_set:4f36bb8808,Services_Inventory,L1,"For metric 'l2vpn_pw_id_set', provide the result for host=pe1. [Answer format: JSON array]",NOT_CONFIGURED,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""l2vpn_pw_id_set"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
SSH_ENABLED_DEVICES,ssh_enabled_devices:566d4b6821,Security_Policy,L2,"For metric 'ssh_enabled_devices', provide the result. [Answer format: JSON array]",OK,set,"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ssh_enabled_devices"", ""scope"": {""type"": ""GLOBAL""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
SSH_MISSING_DEVICES,ssh_missing_devices:566d4b6821,Security_Policy,L2,"For metric 'ssh_missing_devices', provide the result. [Answer format: JSON array]",OK,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ssh_missing_devices"", ""scope"": {""type"": ""GLOBAL""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
SSH_MISSING_COUNT,ssh_missing_count:566d4b6821,Security_Policy,L2,"For metric 'ssh_missing_count', provide the result. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ssh_missing_count"", ""scope"": {""type"": ""GLOBAL""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
AAA_ENABLED_DEVICES,aaa_enabled_devices:566d4b6821,Security_Policy,L2,"For metric 'aaa_enabled_devices', provide the result. [Answer format: JSON array]",OK,set,[],,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""aaa_enabled_devices"", ""scope"": {""type"": ""GLOBAL""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
AAA_MISSING_DEVICES,aaa_missing_devices:566d4b6821,Security_Policy,L2,"For metric 'aaa_missing_devices', provide the result. [Answer format: JSON array]",OK,set,"[""leaf1"", ""leaf2"", ""leaf3"", ""leaf4"", ""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""aaa_missing_devices"", ""scope"": {""type"": ""GLOBAL""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
DEVICES_WITH_SAME_VRF_VRF_HPC,devices_with_same_vrf:b85d5b601c,Security_Policy,L2,"For metric 'devices_with_same_vrf', provide the result for vrf=VRF_HPC. [Answer format: JSON array]",OK,set,"[""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""devices_with_same_vrf"", ""scope"": {""type"": ""VRF"", ""vrf"": ""VRF_HPC""}}",91765b5,"['pe1.cfg', 'pe2.cfg']"
DEVICES_WITH_SAME_VRF_VRF_BIO,devices_with_same_vrf:49a74c32ec,Security_Policy,L2,"For metric 'devices_with_same_vrf', provide the result for vrf=VRF_BIO. [Answer format: JSON array]",OK,set,"[""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""devices_with_same_vrf"", ""scope"": {""type"": ""VRF"", ""vrf"": ""VRF_BIO""}}",91765b5,"['pe1.cfg', 'pe2.cfg']"
DEVICES_WITH_SAME_VRF_VRF_AI,devices_with_same_vrf:d9debd50c2,Security_Policy,L2,"For metric 'devices_with_same_vrf', provide the result for vrf=VRF_AI. [Answer format: JSON array]",OK,set,"[""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""devices_with_same_vrf"", ""scope"": {""type"": ""VRF"", ""vrf"": ""VRF_AI""}}",91765b5,"['pe1.cfg', 'pe2.cfg']"
OSPF_AREA_MEMBERSHIP_0,ospf_area_membership:0ba8b6abd2,OSPF_Consistency,L2,"For metric 'ospf_area_membership', provide the result for area=0. [Answer format: JSON array]",OK,set,"[""p1"", ""p2"", ""p3"", ""p4"", ""pe1"", ""pe2""]",,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area_membership"", ""scope"": {""type"": ""OSPF_AREA"", ""area"": ""0""}}",91765b5,"['p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
OSPF_AREA0_IF_COUNT_leaf3,ospf_area0_if_count:6a7c231d8b,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=leaf3. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf3""}}",91765b5,['leaf3.cfg']
OSPF_AREA0_IF_COUNT_pe1,ospf_area0_if_count:4f36bb8808,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=pe1. [Answer format: integer number]",OK,number,2,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe1""}}",91765b5,['pe1.cfg']
OSPF_AREA0_IF_COUNT_p4,ospf_area0_if_count:8eb660897d,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=p4. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p4""}}",91765b5,['p4.cfg']
OSPF_AREA0_IF_COUNT_leaf1,ospf_area0_if_count:f3e677391b,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=leaf1. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf1""}}",91765b5,['leaf1.cfg']
OSPF_AREA0_IF_COUNT_leaf4,ospf_area0_if_count:45a2dbebe1,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=leaf4. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf4""}}",91765b5,['leaf4.cfg']
OSPF_AREA0_IF_COUNT_leaf2,ospf_area0_if_count:6e35c43dba,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=leaf2. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""leaf2""}}",91765b5,['leaf2.cfg']
OSPF_AREA0_IF_COUNT_p3,ospf_area0_if_count:40d255b5d8,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=p3. [Answer format: integer number]",OK,number,4,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p3""}}",91765b5,['p3.cfg']
OSPF_AREA0_IF_COUNT_p1,ospf_area0_if_count:980d4425bd,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=p1. [Answer format: integer number]",OK,number,3,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p1""}}",91765b5,['p1.cfg']
OSPF_AREA0_IF_COUNT_pe2,ospf_area0_if_count:3603999311,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=pe2. [Answer format: integer number]",OK,number,2,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""pe2""}}",91765b5,['pe2.cfg']
OSPF_AREA0_IF_COUNT_p2,ospf_area0_if_count:f84ad4329a,OSPF_Consistency,L2,"For metric 'ospf_area0_if_count', provide the result for host=p2. [Answer format: integer number]",OK,number,4,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_area0_if_count"", ""scope"": {""type"": ""DEVICE"", ""host"": ""p2""}}",91765b5,['p2.cfg']
OSPF_NEIGHBOR_COUNT_PER_AREA_0,ospf_neighbor_count_per_area:0ba8b6abd2,OSPF_Consistency,L2,"For metric 'ospf_neighbor_count_per_area', provide the result for area=0. [Answer format: integer number]",OK,number,0,,"{""snapshot"": ""Research_Institute_Internal_DC"", ""metric"": ""ospf_neighbor_count_per_area"", ""scope"": {""type"": ""OSPF_AREA"", ""area"": ""0""}}",91765b5,"['leaf1.cfg', 'leaf2.cfg', 'leaf3.cfg', 'leaf4.cfg', 'p1.cfg', 'p2.cfg', 'p3.cfg', 'p4.cfg', 'pe1.cfg', 'pe2.cfg']"
