id,id_v2,level,metric,answer_type,status,reason,replay_answer,dataset_answer,match,score,detail
TRACEROUTE_pe3_asbr2,traceroute_path:110cb868cd,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p6 -> pe4 -> p8 -> asbr2,"""pe3 -> p5 -> p6 -> pe4 -> p8 -> asbr2""",True,1.0,exact
TRACEROUTE_p1_asbr2,traceroute_path:d882c3a946,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2,"""p1 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2""",True,1.0,exact
TRACEROUTE_leaf9_p8,traceroute_path:24c97a7fa0,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_leaf12_leaf7,traceroute_path:d60fbf2bb2,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_leaf5_leaf4,traceroute_path:126eb52afe,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_leaf7_pe5,traceroute_path:66db15c5a1,L4,traceroute_path,text,MATCH,,leaf7 -> pe4,"""leaf7 -> pe4""",True,1.0,exact
TRACEROUTE_asbr1_leaf4,traceroute_path:27176598c2,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_p3_p8,traceroute_path:902609e3e3,L4,traceroute_path,text,MATCH,,p3 -> p5 -> p6 -> p7 -> p8,"""p3 -> p5 -> p6 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_p3_leaf7,traceroute_path:31d9c738ec,L4,traceroute_path,text,MATCH,,p3,"""p3""",True,1.0,exact
TRACEROUTE_pe2_leaf8,traceroute_path:124e8b3b53,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_p10_p6,traceroute_path:b1e5d667c8,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6,"""p10 -> asbr2 -> p8 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_pe2_leaf2,traceroute_path:de50d27014,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_pe4_leaf8,traceroute_path:59f9f9fa59,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_asbr2_p5,traceroute_path:7cc1a9ea3b,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> p6 -> p5,"""asbr2 -> p8 -> p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_p10_leaf4,traceroute_path:1c1da079d7,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_leaf10_asbr2,traceroute_path:231ce49075,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf12_leaf6,traceroute_path:5beecd116b,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p3_pe5,traceroute_path:e461874fd6,L4,traceroute_path,text,MATCH,,p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5,"""p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_p5_leaf3,traceroute_path:406c659628,L4,traceroute_path,text,MATCH,,p5,"""p5""",True,1.0,exact
TRACEROUTE_leaf9_pe5,traceroute_path:5555dcbf01,L4,traceroute_path,text,MATCH,,leaf9 -> pe5,"""leaf9 -> pe5""",True,1.0,exact
TRACEROUTE_pe4_leaf7,traceroute_path:215d10d226,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_p2_p6,traceroute_path:d21a620f4e,L4,traceroute_path,text,MATCH,,p2 -> p1 -> p3 -> p5 -> p6,"""p2 -> p1 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_pe4_p1,traceroute_path:2993ae5c8c,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5 -> p3 -> p1,"""pe4 -> p6 -> p5 -> p3 -> p1""",True,1.0,exact
TRACEROUTE_leaf2_p5,traceroute_path:c0bb49ee38,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf1_pe5,traceroute_path:39f20052ff,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf1_asbr2,traceroute_path:5deec87fa4,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_asbr2_leaf6,traceroute_path:7b3e730d3f,L4,traceroute_path,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
TRACEROUTE_pe1_leaf9,traceroute_path:4396852161,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_pe4_p8,traceroute_path:1e850a0775,L4,traceroute_path,text,MATCH,,pe4 -> p8,"""pe4 -> p8""",True,1.0,exact
TRACEROUTE_p1_leaf2,traceroute_path:0c84d22545,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_pe6_pe2,traceroute_path:c9382a8e5a,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2 -> pe2""",True,1.0,exact
TRACEROUTE_leaf1_p6,traceroute_path:ea983fd706,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_p7_p2,traceroute_path:2f6f165c32,L4,traceroute_path,text,MATCH,,p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_p7_leaf5,traceroute_path:dae18777ab,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_p1_leaf3,traceroute_path:cb0c9dd809,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_p9_leaf9,traceroute_path:a460d3d32a,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_leaf1_p2,traceroute_path:e3d845ce8f,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_asbr1_p2,traceroute_path:20072b347b,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""asbr1 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_p1_p3,traceroute_path:85077ea73e,L4,traceroute_path,text,MATCH,,p1 -> p3,"""p1 -> p3""",True,1.0,exact
TRACEROUTE_leaf1_p1,traceroute_path:2ecc0b7be5,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_asbr1_leaf6,traceroute_path:fb98687582,L4,traceroute_path,text,MATCH,,asbr1,"""asbr1""",True,1.0,exact
TRACEROUTE_pe6_leaf12,traceroute_path:65023dd414,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_pe3_leaf4,traceroute_path:8464c6b0cb,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_pe2_p4,traceroute_path:05b9883e5d,L4,traceroute_path,text,MATCH,,pe2 -> p2 -> p4,"""pe2 -> p2 -> p4""",True,1.0,exact
TRACEROUTE_pe4_pe3,traceroute_path:1d084cdc34,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5 -> pe3,"""pe4 -> p6 -> p5 -> pe3""",True,1.0,exact
TRACEROUTE_p10_leaf1,traceroute_path:02af9bb46e,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_p1_leaf5,traceroute_path:158761bcf1,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_pe2_p9,traceroute_path:cd67d52d7c,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf8_leaf3,traceroute_path:6cdf5085f3,L4,traceroute_path,text,MATCH,,leaf8 -> pe4,"""leaf8 -> pe4""",True,1.0,exact
TRACEROUTE_asbr1_p5,traceroute_path:f0227495df,L4,traceroute_path,text,MATCH,,asbr1 -> p7 -> p6 -> p5,"""asbr1 -> p7 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_p9_leaf8,traceroute_path:109ab43d19,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_p10_p3,traceroute_path:464db933e4,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_leaf10_leaf4,traceroute_path:01826a8bfd,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_asbr2_leaf7,traceroute_path:b9e66d3993,L4,traceroute_path,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
TRACEROUTE_pe2_p2,traceroute_path:b626af9f4a,L4,traceroute_path,text,MATCH,,pe2 -> p2,"""pe2 -> p2""",True,1.0,exact
TRACEROUTE_asbr2_p6,traceroute_path:d5f23d4058,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> p6,"""asbr2 -> p8 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_p7_p4,traceroute_path:2642e585b3,L4,traceroute_path,text,MATCH,,p7 -> p6 -> p5 -> p3 -> p4,"""p7 -> p6 -> p5 -> p3 -> p4""",True,1.0,exact
TRACEROUTE_p8_p6,traceroute_path:eb7dcffe58,L4,traceroute_path,text,MATCH,,p8 -> p7 -> p6,"""p8 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_p4_p3,traceroute_path:9412aeec36,L4,traceroute_path,text,MATCH,,p4 -> p3,"""p4 -> p3""",True,1.0,exact
TRACEROUTE_pe4_leaf12,traceroute_path:2768e688aa,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_asbr1_pe5,traceroute_path:76a7087ba1,L4,traceroute_path,text,MATCH,,asbr1 -> pe5,"""asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_p1_p6,traceroute_path:b8a889b67d,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5 -> p6,"""p1 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p2_leaf4,traceroute_path:b1dd2e8733,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_pe1_pe4,traceroute_path:d823bfdbc9,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> pe4,"""pe1 -> p1 -> p3 -> p5 -> p6 -> pe4""",True,1.0,exact
TRACEROUTE_pe3_p1,traceroute_path:bc9819fc09,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p3 -> p1,"""pe3 -> p5 -> p3 -> p1""",True,1.0,exact
TRACEROUTE_pe3_leaf3,traceroute_path:b770563a94,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_asbr2_leaf2,traceroute_path:1344093ee8,L4,traceroute_path,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
TRACEROUTE_pe4_leaf6,traceroute_path:54a7dc8a1b,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_p5_leaf8,traceroute_path:afb0b3f05e,L4,traceroute_path,text,MATCH,,p5,"""p5""",True,1.0,exact
TRACEROUTE_leaf12_p3,traceroute_path:b4d922fcf0,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_pe4_p5,traceroute_path:1950e9715f,L4,traceroute_path,text,MATCH,,pe4 -> p6 -> p5,"""pe4 -> p6 -> p5""",True,1.0,exact
TRACEROUTE_leaf2_leaf8,traceroute_path:13c5b411ed,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf11_pe2,traceroute_path:dab0175703,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf5_p3,traceroute_path:1cb6a28374,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_p3_leaf8,traceroute_path:dc44af5da0,L4,traceroute_path,text,MATCH,,p3,"""p3""",True,1.0,exact
TRACEROUTE_p9_leaf4,traceroute_path:1908dfe82a,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_p2_leaf7,traceroute_path:659f26ebd4,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_leaf6_p5,traceroute_path:50c76a84f7,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf6_leaf3,traceroute_path:ca1cc4744e,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_p2_leaf9,traceroute_path:076d0f4cc5,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_p7_leaf4,traceroute_path:4541365ced,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe2_p6,traceroute_path:e3f9cc04b8,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6,"""pe2 -> p4 -> p3 -> p5 -> p6""",True,1.0,exact
TRACEROUTE_p2_leaf2,traceroute_path:0bc31aea31,L4,traceroute_path,text,MATCH,,p2,"""p2""",True,1.0,exact
TRACEROUTE_pe6_asbr2,traceroute_path:bb76cb0eaf,L4,traceroute_path,text,MATCH,,pe6 -> asbr2,"""pe6 -> asbr2""",True,1.0,exact
TRACEROUTE_pe1_leaf6,traceroute_path:d0a5ed2dc8,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_leaf4_p6,traceroute_path:063f779794,L4,traceroute_path,text,MATCH,,leaf4 -> pe2,"""leaf4 -> pe2""",True,1.0,exact
TRACEROUTE_leaf1_leaf3,traceroute_path:6e7d9f3688,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_pe3_p9,traceroute_path:8e8c67b6bc,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p6 -> p7 -> asbr1 -> p9,"""pe3 -> p5 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf12_p9,traceroute_path:d9e2042aac,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p1_p4,traceroute_path:a4b3456479,L4,traceroute_path,text,MATCH,,p1 -> p2 -> p4,"""p1 -> p2 -> p4""",True,1.0,exact
TRACEROUTE_leaf5_pe5,traceroute_path:c96f1aa5a1,L4,traceroute_path,text,MATCH,,leaf5 -> pe3,"""leaf5 -> pe3""",True,1.0,exact
TRACEROUTE_leaf11_p5,traceroute_path:e1d2557b96,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_leaf6_leaf2,traceroute_path:d040d6b796,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf6_leaf8,traceroute_path:6fbe007b47,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_leaf10_p4,traceroute_path:abc538a517,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_p10_p2,traceroute_path:d77f0a14df,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_pe2_asbr2,traceroute_path:93a33ce0b9,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2,"""pe2 -> p4 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2""",True,1.0,exact
TRACEROUTE_pe3_p3,traceroute_path:39b6638457,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p3,"""pe3 -> p5 -> p3""",True,1.0,exact
TRACEROUTE_leaf11_asbr2,traceroute_path:96e29fa8f4,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe1_p9,traceroute_path:45b5d10a73,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9,"""pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_p5_p8,traceroute_path:3223769384,L4,traceroute_path,text,MATCH,,p5 -> p6 -> p7 -> p8,"""p5 -> p6 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_pe3_p2,traceroute_path:102584dc87,L4,traceroute_path,text,MATCH,,pe3 -> p5 -> p3 -> p1 -> p2,"""pe3 -> p5 -> p3 -> p1 -> p2""",True,1.0,exact
TRACEROUTE_pe1_pe6,traceroute_path:79bfb46c43,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2 -> pe6,"""pe1 -> p1 -> p3 -> p5 -> p6 -> pe4 -> p8 -> asbr2 -> pe6""",True,1.0,exact
TRACEROUTE_pe3_leaf5,traceroute_path:2c02baf702,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_p7_p6,traceroute_path:ed37692993,L4,traceroute_path,text,MATCH,,p7 -> p6,"""p7 -> p6""",True,1.0,exact
TRACEROUTE_asbr2_leaf9,traceroute_path:f6caa6ac57,L4,traceroute_path,text,MATCH,,asbr2,"""asbr2""",True,1.0,exact
TRACEROUTE_p4_leaf2,traceroute_path:6b72321656,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_p10_p1,traceroute_path:63aabaeccb,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1""",True,1.0,exact
TRACEROUTE_p1_p9,traceroute_path:9e4032c47b,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9,"""p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> p9""",True,1.0,exact
TRACEROUTE_leaf12_asbr2,traceroute_path:0dbc1f8d25,L4,traceroute_path,text,MATCH,,leaf12 -> pe6,"""leaf12 -> pe6""",True,1.0,exact
TRACEROUTE_p10_pe1,traceroute_path:29e7b759f2,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> pe1,"""p10 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> p3 -> p1 -> pe1""",True,1.0,exact
TRACEROUTE_pe6_p6,traceroute_path:b1b04770b4,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6,"""pe6 -> asbr2 -> p8 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_leaf11_leaf5,traceroute_path:a248d34643,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_p5_p6,traceroute_path:ff57634105,L4,traceroute_path,text,MATCH,,p5 -> p6,"""p5 -> p6""",True,1.0,exact
TRACEROUTE_p5_leaf7,traceroute_path:49240e2a0c,L4,traceroute_path,text,MATCH,,p5,"""p5""",True,1.0,exact
TRACEROUTE_p4_leaf5,traceroute_path:6923c5e704,L4,traceroute_path,text,MATCH,,p4,"""p4""",True,1.0,exact
TRACEROUTE_p7_leaf8,traceroute_path:af089ad94b,L4,traceroute_path,text,MATCH,,p7,"""p7""",True,1.0,exact
TRACEROUTE_pe1_leaf3,traceroute_path:1195432cf0,L4,traceroute_path,text,MATCH,,pe1,"""pe1""",True,1.0,exact
TRACEROUTE_p1_leaf7,traceroute_path:b2f2c678a2,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_pe4_leaf10,traceroute_path:559fba4c54,L4,traceroute_path,text,MATCH,,pe4,"""pe4""",True,1.0,exact
TRACEROUTE_p1_p5,traceroute_path:2f56c55ea4,L4,traceroute_path,text,MATCH,,p1 -> p3 -> p5,"""p1 -> p3 -> p5""",True,1.0,exact
TRACEROUTE_p9_leaf5,traceroute_path:4a3ea4704f,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_p10_pe6,traceroute_path:9c41ac7e83,L4,traceroute_path,text,MATCH,,p10 -> asbr2 -> pe6,"""p10 -> asbr2 -> pe6""",True,1.0,exact
TRACEROUTE_p9_p6,traceroute_path:0d30ad4894,L4,traceroute_path,text,MATCH,,p9 -> asbr1 -> p7 -> p6,"""p9 -> asbr1 -> p7 -> p6""",True,1.0,exact
TRACEROUTE_pe6_leaf4,traceroute_path:e5ef39ea69,L4,traceroute_path,text,MATCH,,pe6,"""pe6""",True,1.0,exact
TRACEROUTE_pe2_leaf3,traceroute_path:1e09853abb,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_p2_p5,traceroute_path:1e93d0ec40,L4,traceroute_path,text,MATCH,,p2 -> p1 -> p3 -> p5,"""p2 -> p1 -> p3 -> p5""",True,1.0,exact
TRACEROUTE_leaf3_pe5,traceroute_path:a0aa1735af,L4,traceroute_path,text,MATCH,,leaf3 -> pe2,"""leaf3 -> pe2""",True,1.0,exact
TRACEROUTE_leaf2_leaf7,traceroute_path:2fb79bb54b,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_p9_leaf2,traceroute_path:128c5ae615,L4,traceroute_path,text,MATCH,,p9,"""p9""",True,1.0,exact
TRACEROUTE_leaf7_leaf3,traceroute_path:7fa00d2c00,L4,traceroute_path,text,MATCH,,leaf7 -> pe4,"""leaf7 -> pe4""",True,1.0,exact
TRACEROUTE_pe6_pe3,traceroute_path:8d5d6a30e8,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> pe3,"""pe6 -> asbr2 -> p8 -> p7 -> p6 -> p5 -> pe3""",True,1.0,exact
TRACEROUTE_p10_leaf12,traceroute_path:926eedde67,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_p4_asbr1,traceroute_path:163c34b0e1,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5 -> p6 -> p7 -> asbr1,"""p4 -> p3 -> p5 -> p6 -> p7 -> asbr1""",True,1.0,exact
TRACEROUTE_pe3_leaf8,traceroute_path:2316931578,L4,traceroute_path,text,MATCH,,pe3,"""pe3""",True,1.0,exact
TRACEROUTE_leaf10_p2,traceroute_path:0f28fcda75,L4,traceroute_path,text,MATCH,,leaf10 -> pe5,"""leaf10 -> pe5""",True,1.0,exact
TRACEROUTE_leaf1_p8,traceroute_path:cf9fece538,L4,traceroute_path,text,MATCH,,leaf1 -> pe1,"""leaf1 -> pe1""",True,1.0,exact
TRACEROUTE_leaf11_leaf9,traceroute_path:8fd622b3b6,L4,traceroute_path,text,MATCH,,leaf11 -> pe6 -> leaf9,"""leaf11 -> pe6 -> leaf9""",True,1.0,exact
TRACEROUTE_leaf11_leaf8,traceroute_path:7544ef6587,L4,traceroute_path,text,MATCH,,leaf11 -> pe6,"""leaf11 -> pe6""",True,1.0,exact
TRACEROUTE_pe1_p7,traceroute_path:be9c1a22e0,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> p7,"""pe1 -> p1 -> p3 -> p5 -> p6 -> p7""",True,1.0,exact
TRACEROUTE_leaf2_leaf4,traceroute_path:206c768141,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_leaf2_p6,traceroute_path:64f66e428c,L4,traceroute_path,text,MATCH,,leaf2 -> pe1,"""leaf2 -> pe1""",True,1.0,exact
TRACEROUTE_pe6_p8,traceroute_path:4a74db0730,L4,traceroute_path,text,MATCH,,pe6 -> asbr2 -> p8,"""pe6 -> asbr2 -> p8""",True,1.0,exact
TRACEROUTE_pe1_pe5,traceroute_path:c5a6a9156a,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5,"""pe1 -> p1 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_p10_leaf7,traceroute_path:281636d56b,L4,traceroute_path,text,MATCH,,p10,"""p10""",True,1.0,exact
TRACEROUTE_pe1_p3,traceroute_path:aebe5a1827,L4,traceroute_path,text,MATCH,,pe1 -> p1 -> p3,"""pe1 -> p1 -> p3""",True,1.0,exact
TRACEROUTE_p1_p2,traceroute_path:820e23e546,L4,traceroute_path,text,MATCH,,p1 -> p2,"""p1 -> p2""",True,1.0,exact
TRACEROUTE_p1_leaf4,traceroute_path:8bb765b8b4,L4,traceroute_path,text,MATCH,,p1,"""p1""",True,1.0,exact
TRACEROUTE_pe6_p9,traceroute_path:41e9578b53,L4,traceroute_path,text,MATCH,,pe6 -> p9,"""pe6 -> p9""",True,1.0,exact
TRACEROUTE_leaf6_p3,traceroute_path:52bdef7e3c,L4,traceroute_path,text,MATCH,,leaf6 -> pe3,"""leaf6 -> pe3""",True,1.0,exact
TRACEROUTE_p2_p3,traceroute_path:30226e2aad,L4,traceroute_path,text,MATCH,,p2 -> p1 -> p3,"""p2 -> p1 -> p3""",True,1.0,exact
TRACEROUTE_pe2_leaf1,traceroute_path:5294fb6d6c,L4,traceroute_path,text,MATCH,,pe2,"""pe2""",True,1.0,exact
TRACEROUTE_p4_pe5,traceroute_path:ee0365eb77,L4,traceroute_path,text,MATCH,,p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5,"""p4 -> p3 -> p5 -> p6 -> p7 -> asbr1 -> pe5""",True,1.0,exact
TRACEROUTE_pe2_p8,traceroute_path:0b2263cc34,L4,traceroute_path,text,MATCH,,pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> p8,"""pe2 -> p4 -> p3 -> p5 -> p6 -> p7 -> p8""",True,1.0,exact
TRACEROUTE_asbr2_asbr1,traceroute_path:5631e212cd,L4,traceroute_path,text,MATCH,,asbr2 -> p8 -> p7 -> asbr1,"""asbr2 -> p8 -> p7 -> asbr1""",True,1.0,exact
